X;Y;fid;cng_(Meters);LABEL;MAP_LABEL
604236.276943494;6764357.57048184;3;1080;G13_UT037;G13_UT037
604258.583210316;6764377.63115133;3;1110;G13_UT038;G13_UT038
604280.889477139;6764397.69182082;3;1140;G13_UT039;G13_UT039
597128.46468724;6739440.87463841;4;0;G04_LT001;G04_LT001
597136.334424575;6739469.82402932;4;30;G04_LT002;G04_LT002
597144.204161911;6739498.77342023;4;60;G04_LT003;G04_LT003
597152.073899247;6739527.72281115;4;90;G04_LT004;G04_LT004
597159.943636583;6739556.67220206;4;120;G04_LT005;G04_LT005
597167.813373918;6739585.62159298;4;150;G04_LT006;G04_LT006
597175.683111254;6739614.57098389;4;180;G04_LT007;G04_LT007
597183.55284859;6739643.5203748;4;210;G04_LT008;G04_LT008
597191.422585926;6739672.46976572;4;240;G04_LT009;G04_LT009
597199.292323261;6739701.41915663;4;270;G04_LT010;G04_LT010
597207.162060597;6739730.36854754;4;300;G04_LT011;G04_LT011
597215.031797933;6739759.31793846;4;330;G04_LT012;G04_LT012
597222.901535268;6739788.26732937;4;360;G04_LT013;G04_LT013
597230.771272604;6739817.21672028;4;390;G04_LT014;G04_LT014
597238.64100994;6739846.1661112;4;420;G04_LT015;G04_LT015
597246.510747275;6739875.11550211;4;450;G04_LT016;G04_LT016
597254.380484611;6739904.06489303;4;480;G04_LT017;G04_LT017
597262.250221947;6739933.01428394;4;510;G04_LT018;G04_LT018
597270.119959283;6739961.96367485;4;540;G04_LT019;G04_LT019
597277.989696618;6739990.91306577;4;570;G04_LT020;G04_LT020
597285.859433954;6740019.86245668;4;600;G04_LT021;G04_LT021
595678.563547119;6740063.07630877;5;0;G04_UT001;G04_UT001
595695.269840027;6740087.99416938;5;30;G04_UT002;G04_UT002
595711.976132934;6740112.91202999;5;60;G04_UT003;G04_UT003
595728.682425842;6740137.8298906;5;90;G04_UT004;G04_UT004
595745.38871875;6740162.74775121;5;120;G04_UT005;G04_UT005
595762.095011657;6740187.66561181;5;150;G04_UT006;G04_UT006
595778.801304565;6740212.58347242;5;180;G04_UT007;G04_UT007
595795.507597473;6740237.50133303;5;210;G04_UT008;G04_UT008
595812.21389038;6740262.41919364;5;240;G04_UT009;G04_UT009
595828.920183288;6740287.33705425;5;270;G04_UT010;G04_UT010
595845.626476196;6740312.25491486;5;300;G04_UT011;G04_UT011
595862.332769103;6740337.17277546;5;330;G04_UT012;G04_UT012
595879.039062011;6740362.09063607;5;360;G04_UT013;G04_UT013
595895.745354919;6740387.00849668;5;390;G04_UT014;G04_UT014
595912.451647826;6740411.92635729;5;420;G04_UT015;G04_UT015
595929.157940734;6740436.84421789;5;450;G04_UT016;G04_UT016
595945.864233642;6740461.7620785;5;480;G04_UT017;G04_UT017
595962.570526549;6740486.67993911;5;510;G04_UT018;G04_UT018
595979.276819457;6740511.59779972;5;540;G04_UT019;G04_UT019
595995.983112365;6740536.51566033;5;570;G04_UT020;G04_UT020
596012.689405272;6740561.43352094;5;600;G04_UT021;G04_UT021
