X;Y;fid;cng_(Meters);LABEL;MAP_LABEL
597951.38737987;6739807.85077884;8;0;G04_LM001;G04_LM001
597921.425942994;6739806.33015387;8;30;G04_LM002;
597891.464506118;6739804.80952889;8;60;G04_LM003;
597861.503069242;6739803.28890392;8;90;G04_LM004;
597831.541632365;6739801.76827894;8;120;G04_LM005;
597801.580195489;6739800.24765397;8;150;G04_LM006;
597771.618758613;6739798.72702899;8;180;G04_LM007;
597741.657321737;6739797.20640401;8;210;G04_LM008;
597711.695884861;6739795.68577904;8;240;G04_LM009;
597681.734447985;6739794.16515406;8;270;G04_LM010;G04_LM010
597651.773011109;6739792.64452909;8;300;G04_LM011;
597621.811574232;6739791.12390411;8;330;G04_LM012;
597591.850137356;6739789.60327914;8;360;G04_LM013;
597561.88870048;6739788.08265416;8;390;G04_LM014;
597531.927263604;6739786.56202918;8;420;G04_LM015;
597501.965826728;6739785.04140421;8;450;G04_LM016;
597472.004389852;6739783.52077923;8;480;G04_LM017;
597442.042952976;6739782.00015426;8;510;G04_LM018;
597412.0815161;6739780.47952928;8;540;G04_LM019;
597382.120079223;6739778.95890431;8;570;G04_LM020;G04_LM020
597352.158642347;6739777.43827933;8;600;G04_LM021;
597322.197205471;6739775.91765435;8;630;G04_LM022;
597292.235768595;6739774.39702938;8;660;G04_LM023;
597262.274331719;6739772.8764044;8;690;G04_LM024;
597232.312894843;6739771.35577943;8;720;G04_LM025;
597202.351457967;6739769.83515445;8;750;G04_LM026;
597172.39002109;6739768.31452948;8;780;G04_LM027;
597142.428584214;6739766.7939045;8;810;G04_LM028;
597112.467147338;6739765.27327952;8;840;G04_LM029;
597082.505710462;6739763.75265455;8;870;G04_LM030;G04_LM030
597052.544273586;6739762.23202957;8;900;G04_LM031;
597022.58283671;6739760.7114046;8;930;G04_LM032;
596992.621399834;6739759.19077962;8;960;G04_LM033;
596962.659962957;6739757.67015464;8;990;G04_LM034;
596932.986484879;6739757.63328605;8;1020;G04_LM035;
