X,Y,X,Y,name
598830.956870471,6755272.76759809,-139.1771104608,60.9201971994,G02_LSP
600044.719258404,6754368.04944105,-139.1552061778,60.9117740328,G02_USP
601779.320499641,6753115.55492174,-139.1239013055,60.9000932286,G02_ASP
596454.888569023,6739984.58757073,-139.2285233374,60.7835901386,G04_LSP
595510.630880428,6740736.35252747,-139.2454869118,60.7905640794,G04_USP
595126.583444544,6742232.89923023,-139.2518059085,60.8040860508,G04_ASP
603270.565580443,6764638.61521982,-139.0902434933,61.0031038531,G13_LSP
604509.073084238,6763342.34093034,-139.0680620465,60.9911465959,G13_USP
605704.558697561,6761714.96778477,-139.0468740316,60.9762264039,G13_ASP
