X;Y;Slope_G4;Aspect_G4;DEM_G4;d100_a110_
596411.574;6740095.61;7.69456;123.69006;2184;-9.93
596407.368;6740104.69;7.69456;123.69006;2184;-9.93
596441.448;6740036.23;11.86285;104.65675;2176;-11.18
596436.827;6740045.11;6.90152;145.49149;2182;-8.53
596432.205;6740053.98;6.90152;145.49149;2182;-8.53
596467.736;6739982.03;8.33286;150.70863;2168;-5.87
596463.418;6739991.06;9.73159;123.11134;2173;-8.27
596459.127;6740000.04;9.73159;123.11134;2173;-8.27
596492.062;6739928.51;6.97378;165.25644;2161;-2.86
596487.959;6739937.63;6.97378;165.25644;2161;-2.86
596483.856;6739946.76;6.69666;115.20113;2164;-5.75
596519.488;6739872.47;6.94039;184.39871;2155;0
596515.04;6739881.42;6.94039;184.39871;2155;0
596510.592;6739890.36;6.94039;184.39871;2155;0
596546.228;6739820.53;8.78293;133.36342;2145;-8.53
596541.624;6739829.41;7.74141;159.90477;2151;-2.86
596537.02;6739838.29;7.74141;159.90477;2151;-2.86
596572.422;6739766.67;9.79904;95.19443;2135;-9.87
596568.114;6739775.64;9.79904;95.19443;2135;-9.87
596563.781;6739784.67;9.79904;95.19443;2135;-9.87
596599.803;6739712.58;11.23388;65.85446;2138;-8.98
596595.244;6739721.5;11.23388;65.85446;2138;-8.98
596590.711;6739730.36;11.23388;65.85446;2138;-8.98
596625.758;6739659.87;15.8296;33.34071;2139;3.2
596621.371;6739668.85;13.7292;57.52881;2133;-0.64
596616.983;6739677.83;13.7292;57.52881;2133;-0.64
596706.063;6739693.32;13.34304;23.19859;2118;4.47
596697.336;6739688.44;13.34304;23.19859;2118;4.47
596688.609;6739683.56;13.34304;23.19859;2118;4.47
596733.236;6739753.15;5.65285;155.85446;2116;-2.86
596730.054;6739743.67;2.50706;90;2112;-0.64
596726.871;6739734.19;2.50706;90;2112;-0.64
596758.343;6739806.12;3.12005;149.03624;2119;-1.43
596753.847;6739797.21;3.12005;149.03624;2119;-1.43
596749.325;6739788.23;3.12005;149.03624;2119;-1.43
596783.157;6739860.61;2.38871;102.99461;2119;-2.86
596779.079;6739851.46;2.38871;102.99461;2119;-2.86
596775.025;6739842.37;2.38871;102.99461;2119;-2.86
596805.082;6739916.18;6.59057;51.58194;2113;-3.84
596801.478;6739906.8;6.59057;51.58194;2113;-3.84
596797.896;6739897.49;3.61821;57.09476;2119;-3.2
596826.839;6739972.26;7.33063;60.9454;2110;-3.2
596823.217;6739962.94;7.33063;60.9454;2110;-3.2
596819.595;6739953.62;7.33063;60.9454;2110;-3.2
596846.891;6740026.1;6.08733;142.12502;2102;-0.45
596843.426;6740016.71;6.08733;142.12502;2102;-0.45
596839.96;6740007.32;7.89714;112.52057;2107;-2.56
596861.111;6740070.99;83.69545;207.29028;2135;21.8
596858.214;6740061.43;23.45996;188.24632;2112;4.29
596855.317;6740051.87;23.45996;188.24632;2112;4.29
596782.289;6740061.01;11.63038;144.86581;2119;-8.53
596792.08;6740063.35;11.63038;144.86581;2119;-8.53
596801.78;6740065.67;15.16877;167.39984;2113;-1.43
596725.17;6740043.76;9.80843;140.85602;2124;-7.13
596734.745;6740046.78;9.80843;140.85602;2124;-7.13
596744.263;6740049.77;9.80843;140.85602;2124;-7.13
596668.137;6740031.16;14.36452;120.00492;2135;-8.98
596677.95;6740033.15;14.36452;120.00492;2135;-8.98
596687.705;6740035.12;10.99943;132.39743;2128;-5.71
596608.747;6740013.73;13.71339;91.4688;2143;-10.74
596618.331;6740016.72;13.71339;91.4688;2143;-10.74
596627.856;6740019.69;13.71339;91.4688;2143;-10.74
596549.513;6740002.35;8.60219;82.87498;2157;-7.64
596559.407;6740004.02;8.60219;82.87498;2157;-7.64
596569.242;6740005.69;9.79904;84.80557;2151;-11.99
596492.252;6739986.42;10.52562;96.76617;2164;-6.38
596501.84;6739989.31;10.52562;96.76617;2164;-6.38
596511.371;6739992.17;10.52562;96.76617;2164;-6.38
596433.283;6739975.24;9.21898;175.60129;2169;-1.43
596443.183;6739976.9;8.33286;150.70863;2168;-5.87
596453.023;6739978.56;8.33286;150.70863;2168;-5.87
596375.683;6739959.48;8.56147;172.87498;2168;1.43
596385.269;6739962.31;8.56147;172.87498;2168;1.43
596394.855;6739965.14;8.56147;172.87498;2168;1.43
596317.23;6739946.52;8.09287;142.12502;2174;-5.42
596326.98;6739948.54;8.33286;150.70863;2170;-2.86
596336.788;6739950.58;8.33286;150.70863;2170;-2.86
596256.297;6739930.93;7.32598;140.90614;2173;-4.29
596265.974;6739933.5;7.32598;140.90614;2173;-4.29
596275.59;6739936.05;7.32598;140.90614;2173;-4.29
596202.986;6739915.04;6.56547;130.60129;2176;-4.29
596212.523;6739917.95;6.56547;130.60129;2176;-4.29
596222.113;6739920.88;6.56547;130.60129;2176;-4.29
596142.854;6739900.67;6.81417;96.009;2184;-7.01
596152.576;6739902.87;6.81417;96.009;2184;-7.01
596162.358;6739905.08;7.20873;98.53076;2179;-7.21
596092.529;6739882.96;6.30908;98.1301;2188;-5.75
596101.866;6739886.53;6.30908;98.1301;2188;-5.75
596111.202;6739890.1;6.30908;98.1301;2188;-5.75
596026.699;6739869.52;8.79876;81.8699;2197;-5.11
596036.59;6739871.25;8.79876;81.8699;2197;-5.11
596046.415;6739872.97;7.16542;95.71059;2192;-5.11
595478.802;6740751.34;2.67858;356.18591;2485;-0.64
595488.211;6740747.94;2.03841;52.12502;2486;-2.26
595497.621;6740744.54;2.03841;52.12502;2486;-2.26
595446.624;6740762.97;2.67858;356.18591;2485;-0.64
595456.028;6740759.57;2.67858;356.18591;2485;-0.64
595465.431;6740756.17;2.67858;356.18591;2485;-0.64
595394.004;6740787.44;3.32363;306.25385;2482;2.86
595402.992;6740783.06;2.82148;325.30484;2484;1.43
595411.98;6740778.68;2.82148;325.30484;2484;1.43
595338.694;6740811.8;3.43893;297.89728;2479;3.2
595347.914;6740807.82;3.43893;297.89728;2479;3.2
